id,doctor_id,practice_id,image_url,profile_url,doctor_name,gender,specialization,qualification,college,completion_year,qualification,college,completion_year,experience_years,practice_city,practice_locality,practice_type,practice_name,consultation_fees,summary,recommendation_percent,patients_count,reviews_count,timestamp,
891,1275,649351,https://imagesx.practo.com/providers/dr-satheesh-kumar-k-s-prosthodontist-bangalore-ce9dd941-7eb5-4372-b002-c2e205d4c19f.jpg,/bangalore/doctor/dr-satheesh-kumar-dentist-1?practice_id=649351&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. Satheesh Kumar K.S,male,Dentist,BDS,"J.S.S Medical College, Mysore",2002,MDS - Prosthodontics,"The Oxford dental College, Bangalore",2006,22,Bangalore,Arekere,Clinic,Sakthi Smile Craft - A Multispeciality Dental Clinic & Implant Centre,500,"Dr. Satheesh Kumar is a Prosthodontist and Implant Dentist. He concentrates more on smile design. Implant surgeries,treatment of sleep apnea and full mouth rehabilitation",98,930,435,"7/23/2024, 7:02:00 PM"
1459,1940,654209,https://imagesx.practo.com/providers/dr-katta-r-venkatesh-dentist-bangalore-cb285408-c714-46f1-a246-75f46dba466e.jpg,/bangalore/doctor/dr-katta-r-venkatesh-dentist?practice_id=654209&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. Katta R Venkatesh,male,Dentist,MDS - Periodontics,"The Oxford dental College, Bangalore",2017,BDS,Rajiv Gandhi University of Health Sciences,2003,21,Bangalore,Banashankari 3rd Stage,Clinic,My Dentist-Centre For Complete Dental and Implant Care,500,"Dr Katta R Venkatesh Dentist, Consultant Periodontists & Implantologist.",97,258,126,"7/23/2024, 7:02:00 PM"
2274,3210,652801,https://imagesx.practo.com/providers/dr-sreedhar-reddy-pothula-hair-transplant-surgeon-bangalore-ac80b55f-b544-4726-b138-ddc48dbbde28.jpg,/bangalore/doctor/dr-sreedhar-reddy-pothula-hair-transplant-surgeon?practice_id=652801&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. Sreedhar Reddy Pothula,male,Dentist,MDS - Oral & Maxillofacial Surgery,college of dental sciences davanagaer,2006,,,,18,Bangalore,BTM Layout 2nd Stage,Clinic,Pioneer Advanced Hair Transplant Center,0,"Dr. Sreedhar Reddy Pothula is a maxillofacial & facial plastic surgeon, a world class doctor, is trained abroad to become a master in the Hair Transplant Surgery and has made a revolution in designing natural and artistic hair lines.He was trained in FUT , trychophytic closure, hairline design, twillight anaesthesia etc at Ontario, Canada.  Dr. Sreedhar Reddy Pothula is a maxillofacial & facial plastic surgeon, a world class doctor, is trained abroad to become a master in the Hair Transplant Surgery and has made a revolution in designing natural and artistic hair lines. Dr Sreedhar Reddy Pothula (Maxillo Facial & Plastic Surgeon), is a Consultant in Cosmetic Surgery with post graduation. He was gem of doctors who graduated from JJMMC and CODS College, being one of the most respected medical institutions in India. After finishing his graduation he did post-graduation in surgery from the CODS, Davanagere, Karnataka. He was Chief Resident in the department of Maxillofacial surgery in CODS. He was trained in FUT, trychophytic closure, hairline design, twillight anaesthesia etc at Ontario, Canada. He is trained in various other cosmetic procedures like facial profile change surgeries, nose surgeries and specialization in hair transplant surgeries. Dr. Sreedhar Reddy performed several thousands of hair transplants (with 1000 to   4500+ follicular hair transplant  with high dense packing and super mega sessions consistantly) and cosmetic surgeries with optimum success rates till date. Cosmetic surgeon performing hair transplant surgeries with world class technology and precision will surely help the patients. This rare combination of skill with experience is only available at ""Pioneer Hair Care"" center, Bangalore India. Follicular Hair Transplantation and Cosmetic surgery are done with latest class of art equipment here at  Pioneer Hair Care.",98,55,17,"7/23/2024, 7:02:00 PM"
2661,3817,648449,https://imagesx.practo.com/providers/dr-sandeep-dental-surgeon-bangalore-e116ea17-8973-470b-ba6e-02cde219dd13.jpg,/bangalore/doctor/dr-sandeep-dentist-25?practice_id=648449&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. Sandeep,male,Dentist,BDS,"The Oxford dental College, Bangalore",2002,,,,21,Bangalore,CV Raman Nagar,Clinic,Tooth Affair,500,Dr Sandeep is a director of Tooth affair,94,893,399,"7/23/2024, 7:02:00 PM"
2672,3822,648454,https://imagesx.practo.com/providers/dr-bharath-shetty-prosthodontist-bangalore-0a92b479-829a-4f98-9486-280ac649fcaa.jpg,/bangalore/doctor/dr-bharath-shetty-dentist-1?practice_id=648454&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. Bharath Shetty,male,Dentist,BDS,Gulburga University,1999,MDS - Prosthodontist And Crown Bridge,Bangalore Institute of Dental Sciences  Hospital,2004,25,Bangalore,HSR Layout,Clinic,Dental Health Care Centre,300,"Dr. Bharat Shetty works at Dental Health Care Centre in HSR Layout, Bangalore. He holds a masters degree in Prosthodontics.",96,931,180,"7/23/2024, 7:02:00 PM"
2692,3832,650043,https://imagesx.practo.com/providers/dr-shylesh-shetty-endodontist-bangalore-813290be-cc36-419c-bc1a-fcbb16962dde.jpg,/bangalore/doctor/dr-shylesh-shetty-dentist-1?practice_id=650043&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. Shylesh Shetty,male,Dentist,BDS,M.R. Ambedkar Dental College and Hospital,1999,MDS - Conservative Dentistry ,"Saveetha Dental College and Hospital, Chennai (Madras)",2004,25,Bangalore,Indiranagar,Clinic,Excellence Dental,1000,"Dr Shylesh Shetty is amongst the pioneers of microscope centered endodontics in the country. Dr. Shylesh Shetty completed his BDS in the year 1999 and went on to do his masters in endodontics. Soon after the completion of his masters in the year 2004, Dr. Shetty held faculty positions at the Rajiv Gandhi University of Health Sciences. Between the years 2004 - 09 Dr. Shetty was a consultant Endodontist at many of central and east Bangalore's leading dental practices. Realizing that the highest standard of endodontic care required was not deliverable as a consultant in a ""General Dentistry"" set-ups, Dr.Shylesh  Shetty set up the ""Root Canal center""- in the year 2008- a unique specialty endodontic practice, the cornerstone of the practice being the surgical microscope - a tool that sets the standard of excellence. Root canal treatment is performed completely under the operating microscope which allows complete visualization of the main and accessory root canal system and requires a high degree of skill and training, the vision of successful treatment outcome being based on the use of cutting edge technology, equipment, knowledge, and skill - the unique combination that results in very high long-term success. Keen on raising the bar of endodontic standards in India, Dr. Shylesh Shetty is passionately involved in training endodontists on the latest advances in endodontic techniques and concepts through lectures and hands-on training at his "" Micro- endodontic"" training facility in Bangalore. “Excellence Dental”- was set up by Dr Shetty in June 2016, as an extension of the “Root canal centre” with the intent of providing the highest global standards of care across dental specialties under one roof. To this end, Dr. Shetty has put together a team of carefully selected set of practitioners and specialists chosen for their knowledge, experience and skill in their respective fields. This closely curated team brings together a new generation of dental craftsmanship.",99,1470,467,"7/23/2024, 7:02:00 PM"
2833,3889,648533,https://imagesx.practo.com/providers/dr-george-jeevan-cosmetic-aesthetic-dentist-bangalore-7636d581-e4f5-4553-b502-46edbd9ef6fc.jpg,/bangalore/doctor/dr-george-jeevan-dentist-1?practice_id=648533&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. George Jeevan,male,Dentist,BDS,Bangalore Institute of Dental Sciences  Hospital,2003,,,,21,Bangalore,Koramangala,Clinic,Jeevan Dental Clinic,500,"Dr.George Jeevan has been practicing Dentistry since 2003. He is highly passionate and dedicated with his work. His compassion nature, honesty and dedication made him one of the successful dentist and preferred dentist in bangalore. In the last 15 years he has treated more then one lakh cases.",99,2741,156,"7/23/2024, 7:02:00 PM"
3705,4330,648850,https://imagesx.practo.com/providers/dr-pramod-orthodontist-bangalore-a07efee4-b1d5-4e84-8c62-c78d0af9ef47.jpg,/bangalore/doctor/dr-pramod-dentist-7?practice_id=648850&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. Pramod,male,Dentist,MDS - Orthodontics,Meenakshi Ammal Dental College  Hospital,2009,BDS,M.R. Ambedkar Dental College and Hospital,2004,20,Bangalore,Koramangala,Clinic,Dental de Care,500,"Dr. Pramod is an orthodontist at Koramangala, Domlur  & Indiranagar, Bangalore and has an experience of 15 years in this field. Dr. Pramod practices at Dental Decare Orthodontic & Multispeciality Dental Clinic at Koramangala 3rd Block, Bangalore and Dental De Care - Domlur, Indiranagar Bangalore . He completed MDS - orthodontics from Meenakshi Ammal Dental College & Hospital in 2009 and secured a Gold Medal . F-WFO from USA in 2010. Invisalign USA -2016. He is Invisalign Platinum Provider.He is a member of Indian Dental Association, Indian Orthodontic Society, American Association of Orthodontists and World Federation of Orthodontists (WFO).",98,733,201,"7/23/2024, 7:02:00 PM"
4214,4587,650163,https://imagesx.practo.com/providers/dr-sridhar-endodontist-bangalore-65caff41-b504-43e7-b1e3-a6118cd474a1.jpg,/bangalore/doctor/dr-sridhar-dentist-9?practice_id=650163&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. Sridhar,male,Dentist,BDS,"V.S. Dental College, Bangalore",1996,,,,24,Bangalore,Banashankari 3rd Stage,Clinic,Sri Venkateshwara Dental Clinic,500,"Dr Sridhar is an Endodontist and Dentist in Banashankari 3rd Stage, Bangalore and has an experience of 16 years in these fields.   Dr Sridhar practices at Sri Venkateshwara Dental Clinic in Banashankari 3rd Stage, Bangalore. He completed BDS from VSDC, ( KIMS ) , Bangalore in 1997 and MDS from Rajiv Gandhi Institute of Medical Sciences, Adilabad.  ",98,224,67,"7/23/2024, 7:02:00 PM"
4624,4819,650183,https://imagesx.practo.com/providers/dr-balasubramanya-k-v-dentist-bangalore-27920ad4-6250-47a8-ad5f-3685f737d70c.jpg,/bangalore/doctor/dr-balasubramanya-k-v-dentist-1?practice_id=650183&specialization=Dentist&referrer=doctor_listing&page_uid=7f9efbb4-5aaf-4ea9-9cf5-f83ff1a9a817,Dr. Balasubramanya K V,male,Dentist,BDS,college of dental sciences davanagaer,2001,MDS - Periodontics,"Bapuji college of dental sciences,Davangere",2005,23,Bangalore,Indiranagar,Clinic,Dental solutions,600,"Dr. Balasubramanya K V is one of the few dental specialists in the country specialized in Laser Dentistry. His expertise in this field has been the result of the extensive training he has undergone. He obtained extensive training in soft tissue laser therapy from Germany in 2010. He has also undergone training in hard tissue therapy (Fotona) from Laser and Health Academy (LAHA), Ljubljana in 2012. In addition to being a laser practitioner, he is also a reputed consultant periodontist. He successfully completed BDS in the year 2000. He has also undergone post graduation, taking the much sought after field of Periodontics as his specialization.  He has done Laser practitioner basic course attended Biberach Germany in 2010 & International Laser course attended in LAHA ( Slovenia) in 2012  Excluding the hectic work in his dental lab, he also finds time for practicing as a laser practitioner & senior consultant periodontist in major hospitals like Manipal Cure & Care and Chinmaya Mission Hospital. He has also attained membership in reputed organizations like Indian Society of Periodontology and Indian Dental Association. The number of dental treatment centers in the country has steeply increased in the last few years. An escalating demand for dental health has lead to this condition. Now, almost all people are aware of the relevance of 'effective' dental care. It might be due to this reason that a large number of patients from across the globe have contacted Dr. Balasubramanya for their treatment. Presently, Dr. Balasubramanya is one among the most reputed laser practitioners in the world.",95,1040,548,"7/23/2024, 7:02:00 PM"
